val	data0	data1	data2	data3	data4	data5	data6	data7	data8	data9	data10	data11	data12	data13	data14	data15	data16	data17	data18	data19	data20	data21	data22	data23	data24	data25	data26	data27	data28	data29	data30	data31	data32	data33	data34	data35	data36	data37	data38	data39	data40	data41	data42	data43	data44	data45	data46	data47	data48	data49	data50	data51	data52	data53	data54	data55	data56	data57	data58	data59	data60	data61	data62	data63	data64	data65	data66	
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	
class
u8	20	40	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	3	4	1	1	1	2	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	8
u1	39	66	27	0	0	0	0	0	0	3	5	3	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	2	2	2	3	1	0	0	0	1	1	2	2	2	1	0	0	0	0	0	0	0	1	2	3	1	1	0	0	0	0	2	2	2	4	3	2	0
u3	44	67	23	0	0	0	0	0	0	1	1	1	1	2	2	2	2	2	0	0	0	0	0	0	0	0	1	2	2	2	1	2	2	6	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	4	4	4	3	1	2	0	0
u3	44	74	30	0	0	0	2	1	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2	4	2	1	2	2	2	7	1	1	0	0	0	0	1	3	3	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	5	2	1	1	2	4	2	3	3
u0	46	71	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u0	53	83	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u1	26	52	26	0	0	0	0	0	0	0	0	0	5	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	2	1	2	2	3	2	3	2	2	1
u0	36	67	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u1	39	66	27	0	0	0	0	0	0	0	0	5	3	1	1	2	1	0	0	0	0	0	0	0	0	0	0	3	3	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	1	1	2	2	3	2	3	2	2	0
u4	39	60	21	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	0	0	0	0	0	0	1	2	3	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	2	4	3	3	3	2	1	0	0	0
u4	39	64	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	3	2	2	1	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	3	0	0	0	0	0	0	0	0	1	3	3	3	2	0	0	0
u1	36	82	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	2	1	2	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	5
u4	32	66	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	2	2	1	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	2	5	5	2	0
u3	46	70	24	0	0	0	0	0	0	0	0	0	4	5	2	2	3	2	0	0	0	0	0	0	0	0	0	0	0	3	3	3	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	4	4	3	3	3	3	3	3	3	1	0
u1	42	67	25	0	0	0	0	0	0	0	4	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	2	2	2	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	2	3	2	2	1	1	0	0	1	2	2	1	2	3	3	2
u3	43	70	27	0	0	0	0	0	0	3	3	1	2	3	1	0	0	0	0	0	0	0	0	0	0	1	3	3	3	2	2	7	6	1	1	0	0	0	0	0	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	3	2	2	2	3	4	4	4	4	2	2
u1	38	69	31	0	0	0	5	5	2	2	3	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	2	1	2	2	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	2
u3	35	65	30	0	0	0	0	0	6	3	2	1	1	1	1	1	1	2	0	0	0	0	0	0	0	1	2	1	1	2	1	1	2	7	5	1	1	1	1	1	3	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	2	3	4	3	3	3	0
u4	37	75	38	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0
u1	23	58	35	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	5
u1	43	69	26	0	0	0	0	0	0	2	3	3	2	2	1	2	2	0	0	0	0	0	0	0	0	4	3	1	2	2	1	1	1	1	1	0	0	0	0	0	1	2	2	2	1	2	2	0	0	0	0	0	3	5	3	1	0	0	0	0	0	0	0	2	2	3	3
u3	74	97	23	0	3	5	5	3	2	2	2	3	3	1	0	0	0	0	0	0	0	0	1	1	2	2	3	5	6	4	3	2	2	2	2	0	0	0	3	3	5	7	4	3	3	2	1	0	0	0	0	0	0	0	0	0	2	2	3	3	3	2	2	4	5	5	2
u1	31	61	30	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	2	1	3	2	0	0
u1	43	69	26	0	0	0	0	0	0	0	0	4	5	5	2	2	2	0	0	0	0	0	0	0	0	0	0	2	3	2	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	3	3	3	2	2	3	3	2	3	2	1	0
u4	47	71	24	0	0	0	0	0	0	0	0	1	2	2	3	2	2	2	2	0	0	0	0	0	2	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	1	2	4	3	3	3	2	1	0	0	0	0	0	0
u2	43	66	23	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	2	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	1	2	1	2	2	3	0	0	0	1
u1	47	71	24	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	3	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	3	2	2	2	5	3
u1	39	74	35	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	3	2	2	2	1	0
u1	33	59	26	0	0	0	0	3	6	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	2	2	2	1	1	1	1	0	1	2	1	2	2	2	1	1	0	1	2	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	3	3	5
u12	36	67	31	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	2	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	1	1	2	0	0	0	0
u13	34	68	34	0	0	0	0	0	0	1	2	1	1	2	2	2	2	2	0	0	0	0	0	0	2	1	1	1	1	1	2	2	2	3	3	0	0	0	0	0	0	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	4	7	1	0	0	4	3	3	5	0	0
u12	43	71	28	0	0	0	0	0	0	0	0	0	3	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	1	1	2	1	0	0	0	0	0	0
u13	47	81	34	0	0	0	0	1	2	1	0	2	1	1	2	2	1	1	1	0	0	0	0	0	1	2	1	1	1	2	1	1	2	1	4	0	0	0	0	0	1	1	2	1	1	2	0	0	0	0	0	0	0	0	3	7	1	0	0	0	1	6	2	3	1	0	0
u6	48	69	21	0	0	0	3	7	3	2	1	2	1	2	6	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	2	2	2	2	2	3	3	1	2	2	2	1	2	2	2	1	1	1	0	0	0	1	3	2	1	1	1	1	1	2	3	1	2	2	0	0	0
u5	40	63	23	0	0	0	1	1	1	2	6	3	4	2	5	3	0	0	0	0	0	0	3	3	2	2	1	4	4	2	1	2	1	1	1	0	0	1	2	1	2	2	3	1	2	2	2	2	2	0	0	3	5	4	2	1	2	0	0	0	1	2	2	2	2	5	2
u9	41	77	36	0	0	0	0	0	0	2	3	2	1	1	3	3	2	0	0	0	0	0	3	1	1	4	4	1	1	2	3	4	4	0	1	0	0	0	0	2	2	1	0	0	0	0	0	2	5	3	3	0	0	0	2	2	2	3	3	5	4	3	3	1	0	0	0
u10	42	65	23	0	0	0	5	3	2	0	4	7	4	3	6	2	0	0	0	0	0	0	2	3	2	1	2	4	5	4	5	2	2	1	1	0	2	3	2	1	2	2	2	2	2	2	1	2	1	0	0	3	3	4	3	3	1	2	3	3	3	4	3	3	7	1	0
u14	41	62	21	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	4	5	4	2	0	0	1	7	3	2	1	1	0	0	0	0	0	0	0	2	2	2	1	2	2	2	2	2	0	0	0	0	0	0	0	4	2	1	1	1	2	3	3	2
u15	41	65	24	0	0	0	2	2	1	2	2	2	2	1	1	1	2	1	0	0	0	0	2	2	2	3	2	5	5	2	1	1	1	3	3	0	0	0	0	2	4	2	1	1	4	3	2	1	0	0	0	0	0	0	0	3	4	1	2	2	2	2	2	4	3	3	3
u16	42	68	26	0	0	0	0	1	3	2	2	1	1	0	0	0	0	0	0	0	0	0	0	1	2	2	2	4	3	3	4	2	4	2	3	0	0	0	0	0	3	3	2	2	1	2	0	0	0	0	2	0	0	0	0	0	0	0	2	4	5	3	3	3	3	3	1
u11	44	69	25	0	0	4	1	1	1	4	5	5	3	2	3	0	0	0	0	0	0	3	3	3	2	2	4	6	4	7	4	2	1	1	1	1	4	1	0	3	3	2	2	1	1	1	1	3	5	4	1	0	1	2	2	3	2	1	2	2	3	3	5	5	4	1	3
u7	50	73	23	0	0	0	0	0	0	5	4	4	3	3	6	5	0	0	0	0	0	0	0	0	0	6	4	2	2	4	7	6	7	3	2	0	0	1	2	2	2	1	1	1	1	1	2	2	2	1	0	2	3	4	3	3	2	2	2	3	2	3	4	5	4	6	6
u6	41	67	26	0	0	0	0	0	1	5	3	2	2	2	6	5	0	0	0	0	0	0	0	0	0	1	2	2	2	1	5	6	4	4	3	1	2	1	1	1	0	1	2	2	1	0	0	0	0	0	0	3	3	1	2	2	2	2	2	2	2	4	4	4	4	5	2
u7	35	69	34	0	0	0	1	2	3	3	2	1	2	1	7	5	0	0	0	0	0	2	4	1	2	2	3	2	2	2	3	4	4	2	1	0	0	1	2	1	1	3	3	1	1	1	4	4	3	0	0	2	4	2	1	1	2	2	2	2	2	1	4	2	4	5	0
u5	43	69	26	0	0	0	0	0	0	1	1	1	1	1	3	5	6	4	2	0	0	0	0	0	2	5	3	2	2	1	0	0	0	4	2	0	0	0	0	0	0	0	2	2	1	1	2	1	2	1	0	1	3	2	3	3	2	4	5	1	1	2	2	0	0	2	3
u8	42	70	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	2	2	5	5	2	1	2	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	5	4	5	2
u8	38	68	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	4	2	3	5	4	1	1	2	0	0	0	0	0	0	0	0	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	4	5	3	5	3	0
u8	20	50	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	3	3	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	4	0	0	0	0	0	0	0	0	0	1	4	3	1	1	2	0
u1	42	70	28	0	0	0	0	0	0	0	0	4	3	2	2	2	2	0	0	0	0	0	0	0	0	0	0	3	3	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	2	2	1	1	1	2	2	2	2	3	3	0
u3	43	69	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	5	4	4	3	3	3	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	4	8	7	1
u3	49	75	26	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	3	4	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	4	4	4	6	5	3	0
u0	51	80	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u0	52	85	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u1	38	70	32	0	0	0	8	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	1	1	2	1	2	1	1	2	1	2	3	2	2	2	2	3	3	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	2
u0	43	71	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u1	47	75	28	0	0	0	0	0	0	0	0	0	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	3	3	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	2	2	2	3	4	2	0	0
u4	52	73	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	5	3
u4	63	88	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	3
u1	44	91	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	1	0
u4	41	72	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	3
u3	52	76	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	6	6	5	5	3	2	4	4	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5	6	4	5	4	4	5	2
u1	46	80	34	0	0	0	0	1	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	2	2	2	1	2	1	1	1	2	2	1	1	2	1	1	2	2	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	4
u3	50	79	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	4	5	3	3	3	4	5	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	6	4	5	5	6	2
u1	48	76	28	0	0	0	0	0	0	0	0	0	0	0	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	5	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	2	1	1	1	2	3	4	2	0
u3	45	81	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	2	3	3	4	4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	4	4	5	2	0
u4	49	93	44	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
u1	37	65	28	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	3	5	2	0
u1	41	76	35	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	2	2	2	2	2	3	3	2
u3	55	82	27	0	0	0	0	0	0	0	0	4	5	3	2	2	2	0	0	0	0	0	0	0	0	0	0	1	3	4	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	3	2	2	2	3	2	2	2	3	3	2	0
u1	42	71	29	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	2	2	2	2	1	2	0	0
u1	39	67	28	0	0	0	0	0	0	0	0	0	0	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	1	1	1	1	1	1	1	3	2	2	0
u4	49	70	21	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	2	3	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	2	2	3	2	0	0	0
u2	45	74	29	0	0	0	0	0	0	0	2	2	0	0	1	1	3	3	2	0	0	0	0	0	0	0	0	2	5	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	3	2	3	1	2	2	2	0	1	2	2
u1	45	78	33	0	0	0	0	0	0	0	0	0	0	0	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	1	1	1	1	1	2	1	2	1	2	0
u1	49	82	33	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	3	2	2	2
u1	39	68	29	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3	5	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	2	3	3	3	3	1	0
u12	42	75	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	2	2	3	2	0
u13	44	81	37	0	0	0	0	0	0	0	0	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	3	4	2	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	6	6	5	5	0	0	0
u12	42	70	28	0	0	0	0	0	0	2	4	3	3	3	2	2	1	0	0	0	0	0	0	0	0	2	4	3	2	2	1	1	1	1	2	0	0	0	0	1	1	2	2	2	2	1	1	0	0	0	0	0	0	3	6	3	2	0	0	0	0	0	1	2	4	6	0
u13	49	76	27	0	0	0	0	1	4	2	2	3	3	3	3	5	4	2	1	0	0	0	0	0	0	2	3	4	3	2	3	3	2	1	4	0	0	1	2	2	1	2	1	2	2	1	0	0	0	0	0	5	6	5	0	0	0	3	5	6	2	3	8	3	0	0	0
u6	50	74	24	0	0	0	0	0	0	4	3	2	2	1	1	4	6	2	0	0	0	0	0	0	0	4	2	1	2	2	3	4	5	2	2	0	0	0	1	2	2	1	1	1	1	2	2	0	0	0	0	0	4	4	3	1	2	2	2	3	3	3	2	5	4	1	0
u5	48	73	25	0	0	0	0	0	2	2	3	2	5	6	4	5	4	3	2	0	0	0	0	0	3	3	3	2	2	2	8	5	3	2	2	0	0	1	1	2	1	1	1	1	1	2	2	2	1	0	0	2	3	7	6	5	4	2	2	2	1	1	1	2	6	8	5
u9	52	85	33	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	2	4	4	2	2	6	8	7	2	3	3	2	3	0	0	0	0	0	0	0	0	0	0	0	3	2	3	2	4	0	0	0	0	0	0	0	5	7	4	3	6	7	2	3	2
u10	56	82	26	0	0	1	3	3	4	3	2	2	2	2	1	3	3	0	0	4	4	5	5	4	4	6	4	4	3	3	6	6	6	1	2	0	0	0	0	3	4	3	6	7	8	5	5	2	3	4	2	0	0	0	0	3	3	2	5	4	3	4	6	6	5	1	2
u14	48	74	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	5	4	3	3	3	2	3	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	4	6	4	3	3	3	3	2
u15	51	76	25	0	0	0	0	0	0	0	0	1	2	2	1	1	1	2	1	0	0	0	0	0	0	2	5	4	4	6	7	7	6	3	3	0	0	0	0	0	0	0	0	1	2	2	1	1	0	0	0	0	0	0	0	0	0	6	5	1	5	6	7	8	7	3	3
u16	54	75	21	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	2	2	3	3	3	3	2	4	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	1	5	3	4	2	1	2
u11	56	82	26	0	0	1	3	3	2	3	5	4	3	5	2	1	1	0	0	0	0	5	2	2	2	3	6	4	4	7	5	2	1	5	5	1	2	4	2	2	1	2	3	2	2	1	1	3	5	4	2	1	3	2	1	0	0	3	6	3	5	6	6	6	2	2	3
u7	52	75	23	0	0	0	0	0	0	3	3	2	2	2	2	1	3	2	0	0	0	0	0	0	3	3	2	2	2	4	3	3	4	6	4	0	0	0	0	1	2	2	1	1	1	1	1	1	2	1	0	0	0	0	4	6	1	2	1	1	1	2	2	6	4	6	6
u6	49	71	22	0	0	0	0	0	0	5	4	2	2	2	6	6	4	0	0	0	0	0	0	0	0	1	2	1	0	2	5	3	2	2	2	0	1	1	2	2	1	1	1	2	1	0	0	0	0	0	0	4	5	3	2	2	3	2	1	2	2	2	2	3	4	2	0
u7	53	78	25	0	0	0	2	4	3	1	2	2	2	2	1	2	4	0	0	0	0	0	2	4	4	2	3	4	3	4	2	5	5	1	2	0	0	1	3	2	2	2	2	2	3	2	3	3	2	0	0	0	0	3	4	2	1	1	2	2	2	5	5	6	5	1	0
u5	55	80	25	0	0	0	4	2	2	2	4	4	3	4	4	2	0	0	0	0	0	0	3	3	3	3	2	7	7	7	4	4	4	2	2	0	0	2	3	3	3	2	1	1	2	3	2	2	2	2	0	0	0	3	4	3	3	2	2	3	3	3	4	5	6	7	6
u8	54	84	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	3	4	4	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	4	5	5
u8	51	81	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	4	3	2	2	4	5	2	2	4	0	0	0	0	0	0	0	0	0	2	3	2	2	2	3	2	0	0	0	0	0	0	0	0	0	2	8	5	2	2	2	3
u8	35	55	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	3	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	5	7	3	0	0	3
u1	24	64	40	0	0	0	0	0	0	0	1	3	3	2	1	1	2	2	0	0	0	0	0	0	0	0	4	3	1	2	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	2	3	2	3	2	1	0	0	0	1	1	3	4	2	0
u3	42	72	30	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	3	3	3	1	2	1	1	1	2	3	6	5	0	0	0	0	0	0	0	2	3	3	3	2	0	0	0	0	0	0	0	0	0	0	0	6	2	1	1	2	4	5	4	2
u3	39	73	34	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4	5	2	1	1	4	7	6	1	1	0	0	0	0	0	0	0	0	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	3	3	2	2	1	2	3	5	5
u0	72	93	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
