val	data0	data1	data2	data3	data4	data5	data6	data7	data8	data9	data10	data11	data12	data13	data14	data15	data16	data17	data18	data19	data20	data21	data22	data23	data24	data25	data26	data27	data28	data29	data30	data31	data32	data33	data34	data35	data36	data37	data38	data39	data40	data41	data42	data43	data44	data45	data46	data47	data48	data49	data50	data51	data52	data53	data54	data55	data56	data57	data58	data59	data60	data61	data62	data63	data64	data65	data66	
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	
class
u3	46	77	31	0	0	0	0	0	0	5	6	1	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	6	3	2	1	2	0	0	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	1	2	4	5	3	2	3	3	1
u1	59	86	27	0	0	0	0	0	0	2	5	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	3	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	3	2	3	2	3	2	0
u1	40	70	30	0	0	0	0	0	0	0	0	6	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	2	2	2	2	3	3	2	2	2	2	2	1
u4	49	71	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	3	3	0	0
u2	50	76	26	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	2	2	3	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	2	2	2	3	2	1	0	2
u1	52	78	26	0	0	0	0	0	0	0	0	2	3	4	2	2	2	2	0	0	0	0	0	0	0	0	0	1	3	4	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	1	2	3	3	3	2	3	1	2	4	2	0
u1	45	79	34	0	0	0	0	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	2	1	2	0	2	2	2	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	3	3	1
u1	43	70	27	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	3	4	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	2	2	2	3	2	2	0
u12	38	67	29	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	1	1	1	1	2	2	0	0	0
u13	40	72	32	0	0	0	0	0	0	1	2	1	1	2	1	1	1	1	3	0	0	0	0	0	0	2	3	2	2	2	2	2	2	4	5	0	0	0	0	0	0	1	2	2	2	1	0	0	0	0	0	0	0	0	0	6	4	1	0	0	6	4	5	5	1	0	0
u12	41	67	26	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	1	1	2	1	1	2
u13	42	68	26	0	0	0	0	0	0	1	2	2	2	1	0	0	0	0	0	0	0	0	3	5	4	1	2	3	2	3	2	3	3	3	2	0	0	0	0	0	1	1	1	1	2	2	2	2	2	3	1	0	0	0	0	3	2	0	0	0	0	0	2	5	5	3	6
u6	43	68	25	0	0	0	0	0	0	4	5	1	1	1	2	6	7	3	0	0	0	0	0	0	0	3	5	1	0	0	0	3	4	4	2	0	0	0	1	2	2	2	2	2	2	2	1	1	0	0	0	3	6	2	2	2	2	2	2	2	2	2	2	1	3	2	0
u5	50	75	25	0	0	0	0	1	2	1	1	3	6	6	4	2	0	0	0	0	0	3	3	1	0	0	0	0	1	3	5	2	2	2	2	0	0	0	0	0	2	1	2	2	1	1	1	1	0	0	1	2	2	3	3	3	3	3	2	3	2	2	2	3	3	2	0
u9	50	75	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	2	4	4	5	4	3	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	0	0	0	0	0	0	0	0	0	0	8	8	2	3	6	5	0
u10	46	78	32	2	4	3	1	2	2	5	5	2	3	2	0	0	0	0	0	1	2	2	2	1	1	0	1	3	3	5	1	1	1	1	1	1	3	3	1	4	4	4	4	3	2	1	1	3	0	0	0	0	0	0	0	0	2	3	2	1	2	3	3	2	1	2	2
u14	44	82	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	1	2	2	3	3	1	1	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	6	2	1	0	0	2	2	3
u15	46	73	27	0	0	0	1	2	2	2	1	1	1	1	1	1	1	2	2	0	0	0	2	3	2	4	5	3	5	4	1	2	1	3	2	0	0	0	0	0	2	3	3	2	4	4	3	1	0	0	2	0	0	0	0	0	6	2	2	2	2	1	2	4	4	4	2
u16	44	70	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	3	3	3	2	2	2	3	3	3	3	0	0	0	0	0	0	0	0	0	2	3	4	4	1	0	0	0	0	0	0	0	0	0	0	1	6	4	2	0	0	2	6
u11	51	78	27	0	0	2	2	1	2	2	2	1	5	6	2	4	4	5	3	0	3	6	2	1	2	3	3	3	4	5	2	3	3	3	2	0	0	0	2	3	3	2	1	2	2	2	2	3	3	3	3	0	0	4	7	5	6	4	4	4	3	6	6	1	1	2	2
u7	48	72	24	0	0	0	3	2	2	1	2	2	2	3	5	3	0	0	0	0	0	0	3	2	2	1	2	3	3	1	1	3	3	3	3	0	1	3	2	2	1	1	0	1	1	3	2	2	1	0	0	2	3	1	2	1	2	2	2	2	2	5	4	2	5	0	0
u6	46	76	30	0	0	0	0	0	4	2	2	2	2	3	6	5	0	0	0	0	0	0	0	0	0	3	3	2	1	1	3	4	4	1	1	0	1	2	1	1	1	1	1	2	2	2	0	0	0	0	0	3	3	2	2	2	2	2	2	2	2	3	4	3	2	1	0
u7	47	74	27	0	0	0	0	0	0	2	2	2	2	2	3	5	5	1	0	0	0	0	0	0	4	2	2	3	3	2	3	5	7	2	2	0	0	0	0	0	1	2	1	1	1	1	1	1	2	1	0	0	0	0	5	7	3	2	3	3	2	2	3	5	4	4	4
u5	50	75	25	0	0	0	2	2	2	2	2	2	2	1	4	6	5	2	2	0	0	0	4	2	1	2	2	1	0	0	3	5	6	2	1	0	0	0	0	2	3	3	2	1	1	1	2	2	2	2	0	0	0	4	4	5	6	3	2	3	3	3	2	2	2	3	0
u8	47	76	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	2	3	4	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	8	4	1	3
u8	41	76	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	3	2	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	1
u8	23	47	24	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	4	5	3	4	4	2	2	1	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	2	4	3	3	4	4	0	0	0	0	0	0	0	6	4	4	3	0	0	0	0	0
u1	48	81	33	0	0	0	0	0	0	0	0	0	0	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	2	2	2	1	0
u3	51	83	32	0	0	0	0	0	0	0	4	6	3	2	3	3	3	1	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	5	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	4	3	3	3	3	3	3	3	2	0	0	0
u3	45	75	30	0	0	0	0	0	0	4	6	3	2	1	2	3	3	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	6	1	1	0	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	1	3	1	2	2	2	3	3	3	2	2	2	2	1	0
u0	37	74	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u0	36	79	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u1	39	75	36	0	0	0	0	0	0	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	2	2	2	2	2	1	0	0
u0	42	79	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u1	46	74	28	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	3	2	2	1	0
u4	47	76	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	1	0
u4	45	78	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	2	1	2	2	1	0
u1	34	88	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
u4	45	75	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3
u3	44	72	28	0	0	0	0	0	0	0	0	4	5	5	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	4	4	4	3	3	2	2	2	1	0	0	0	0
u1	58	83	25	0	0	0	0	0	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	4	2	2	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	1	2	2	2	3	2
u3	48	80	32	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	2	3	3	2	2	1	1	2	2	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	2	3	2	3	2	0	0
u1	46	77	31	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	1	1	2	1	0	0	0
u3	44	81	37	0	0	0	0	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	3	2	2	4	4	2	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	3	4	5	3	2	0
u4	26	78	52	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0
u1	39	75	36	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	3	2	1	2	1	0	0
u1	44	77	33	0	0	0	0	0	0	0	0	0	0	0	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	2	2	2	3	2	2	2	1	0	0	0
u3	39	70	31	0	0	0	0	0	0	1	4	4	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	1	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	3	3	1	2	2	1	2	0	0
u1	38	69	31	0	0	0	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	1	0	2	3	3	2	0	0
u1	39	74	35	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	3	2	2	2	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	2	3	3	3
u4	42	65	23	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	0	0	0	0	0	0	0	0	2	3	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	3	2	2	2	3	2	0	0
u2	52	76	24	0	0	0	0	0	0	0	1	3	3	0	1	2	2	2	2	0	0	0	0	0	1	2	2	1	3	2	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	3	3	3	2	2	2	1	2	1	0	0	0	2	3
u1	39	69	30	0	0	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	2	2	1	1	2	2	2	1	0	0
u1	37	76	39	0	0	0	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	1	1	2	2	2	1	0	0
u1	50	82	32	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	2	2	2	1	2	2	1	1	0	0
u12	38	74	36	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	5	3	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	1	2	2	3	3
u13	37	74	37	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5	1	1	3	3	1	2	2	3	0	0	0	0	0	0	0	0	2	1	1	1	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	3	4	6	1
u12	45	77	32	0	0	0	0	0	0	0	3	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	4	4	1	0	0	0	1	2	3	3	1	0	0	0
u13	41	73	32	0	0	0	0	0	0	5	3	1	0	1	1	2	1	0	0	0	0	0	0	0	0	2	2	2	1	3	2	1	2	3	0	0	0	1	2	2	1	1	1	1	2	1	0	0	0	0	0	0	1	3	2	0	0	0	0	0	2	2	2	4	4	0	0
u6	41	63	22	0	0	0	0	0	5	4	2	2	2	2	2	1	2	1	0	0	0	0	0	0	0	3	4	3	2	2	1	1	1	2	2	1	2	1	1	1	1	2	2	2	2	2	1	0	0	0	0	3	4	2	1	0	1	1	0	1	2	1	1	2	6	1	0
u5	45	71	26	0	0	0	0	4	6	1	1	2	1	5	4	2	2	0	0	0	0	0	0	2	4	2	2	0	0	0	1	2	1	1	1	0	3	1	1	2	2	2	1	2	2	1	2	2	1	0	0	2	5	3	2	1	1	1	1	2	2	0	1	1	0	0	0
u9	45	79	34	0	0	0	0	0	0	3	5	3	1	2	3	2	0	0	0	0	0	0	5	3	3	5	3	3	4	4	3	5	5	1	1	0	0	2	2	2	1	1	0	0	0	0	5	5	3	2	4	0	0	1	3	1	1	2	3	4	4	4	6	6	2	0	0
u10	51	77	26	4	5	1	3	3	3	2	2	1	2	2	1	1	2	3	1	3	3	2	1	1	1	0	0	0	0	0	2	3	2	5	5	0	0	3	7	7	2	2	2	1	2	2	2	2	2	0	0	0	0	0	0	6	3	2	2	3	4	4	3	0	2	1	0
u14	39	70	31	0	0	0	0	0	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	2	2	1	2	2	2	2	1	1	1	0	0	0	0	2	1	1	1	1	1	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	2	2	2	2	2	2	0
u15	46	79	33	0	0	0	0	0	3	2	2	2	2	1	3	2	0	0	0	0	0	0	0	0	0	2	3	5	3	2	3	4	1	2	1	0	0	1	2	1	1	1	1	2	1	0	0	0	0	0	2	0	0	2	2	0	0	3	3	2	3	6	3	2	2	2	1
u16	44	75	31	0	0	3	2	2	2	2	2	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	2	2	2	3	3	3	0	0	0	0	0	4	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	2	2	2	2	3	2	3
u11	45	79	34	0	0	0	4	3	1	3	4	3	2	1	2	2	3	1	0	0	0	0	6	3	1	3	5	1	1	2	4	3	3	1	2	0	1	2	2	2	4	3	1	1	1	1	2	4	4	3	2	0	0	0	0	0	6	4	4	4	4	3	1	2	1	1	1
u7	48	75	27	0	0	0	5	6	3	2	3	2	2	1	1	0	1	4	0	0	0	0	0	2	3	2	5	2	2	2	3	5	2	3	1	3	3	2	2	2	2	2	3	4	3	2	2	1	0	0	0	0	2	1	1	1	1	1	4	3	3	3	2	5	4	0	0
u6	38	67	29	0	0	0	0	0	4	6	2	1	1	1	3	5	2	0	0	0	0	0	0	0	0	2	2	2	1	1	1	2	2	1	1	1	2	2	0	2	2	2	1	2	2	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	2	2	4	1	0	0	0
u7	44	71	27	0	0	5	3	1	1	2	1	0	1	1	5	1	0	0	0	0	0	0	3	3	2	5	4	3	3	4	5	2	2	2	2	4	3	1	1	1	1	1	1	1	4	4	3	2	2	1	0	0	0	2	1	1	2	1	1	1	5	5	2	5	5	0	0
u5	40	68	28	0	0	0	0	6	7	1	1	5	5	2	1	1	0	0	0	0	0	0	0	0	3	2	1	2	2	3	3	3	2	1	1	0	1	4	2	2	2	2	2	1	1	2	2	0	0	0	0	0	0	5	2	2	1	2	2	1	1	1	2	4	5	3	0
u8	33	71	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	5	0	0
u8	39	75	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
