val	data0	data1	data2	data3	data4	data5	data6	data7	data8	data9	data10	data11	data12	data13	data14	data15	data16	data17	data18	data19	data20	data21	data22	data23	data24	data25	data26	data27	data28	data29	data30	data31	data32	data33	data34	data35	data36	data37	data38	data39	data40	data41	data42	data43	data44	data45	data46	data47	data48	data49	data50	data51	data52	data53	data54	data55	data56	data57	data58	data59	data60	data61	data62	data63	data64	data65	data66	data67	data68	data69	
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	
class
l0	42	70	10	43	28	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l1	51	80	21	50	29	29	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	5	1	1	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	3	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	31	83	21	49	52	28	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	53	77	21	52	24	31	4	2	2	1	1	2	4	4	0	0	0	0	0	0	0	0	1	0	0	0	1	2	6	4	0	0	0	0	0	0	0	0	0	0	0	4	6	4	3	3	3	2	2	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	49	70	11	41	21	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	41	77	21	52	36	31	1	2	1	2	2	2	4	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	5	4	0	0	0	0	0	0	0	0	2	3	2	2	2	1	2	2	2	2	2	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	45	77	21	43	32	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	47	87	21	50	40	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	3	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l4	40	84	24	56	44	32	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	1	1	2	4	4	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	5	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	1	2	1	0
l5	48	88	25	57	40	32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	1	1	1	1	1	3	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	2
l6	49	86	22	57	37	35	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	3	2	1	2	2	1	2	2	2	3	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	3	7	4	0	0	0	0	0	0	1	2	2	1	1	2	2	1	0	0
l7	44	75	7	50	31	43	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	6	2	1	2	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	3	3	2	2	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l8	51	87	5	57	36	52	3	0	0	0	1	1	2	4	3	3	4	0	0	0	0	0	5	1	0	1	5	6	2	1	0	0	0	0	0	0	0	0	4	1	0	0	0	1	2	3	3	3	3	3	4	5	0	0	0	2	1	1	2	3	1	0	0	0	0	0	0	0	0	0
l2	59	80	21	55	21	34	3	3	2	1	1	1	2	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	5	1	0	0	0	0	0	0	0	0	0	0	7	5	3	1	1	0	0	0	0	1	2	2	0	0	0	0	0	0	1	1	2	1	1	1	1	0	0	0
l7	61	82	21	52	21	31	0	0	0	1	3	5	4	1	0	0	0	0	0	0	0	0	2	2	2	8	7	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	2	2	3	2	2	2	2	2	2	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l8	60	87	21	49	27	28	3	2	2	7	7	4	0	0	0	0	0	0	0	0	0	0	7	4	5	4	2	0	0	0	0	0	0	0	0	0	0	0	4	5	2	2	3	2	3	4	3	2	3	3	3	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l6	49	69	21	53	20	32	4	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	4	1	1	2	3	3	4	4	0	0	0	0	0	0	0	0	0	1	1	2	2	2	2	2	2	3	3	2	2	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l7	47	68	21	51	21	30	0	0	0	0	4	7	1	0	0	0	0	0	0	0	0	0	6	3	3	2	8	8	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	2	2	2	3	3	3	2	2	5	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l8	46	71	21	52	25	31	0	0	1	2	2	2	7	6	0	0	0	0	0	0	0	0	5	1	3	7	5	3	0	0	0	0	0	0	0	0	0	0	3	5	2	2	2	2	2	2	3	3	2	1	2	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l6	53	77	21	55	24	34	0	0	0	0	0	2	2	2	4	2	0	0	0	0	0	0	1	2	2	2	2	1	2	2	4	2	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	1	2	4	5	2	0	0	0	0	1	1	2	2	2	2	1	1	0	0	0	0
l4	46	87	22	57	41	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	3	4	5	0	0	0	0	0	0	0	0	1	1	1	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	1	1	2	2	1	0
l5	46	86	21	58	40	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	2	2	1	1	1	1	3	4	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	7	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	1
l6	52	80	22	57	28	35	0	0	0	0	0	0	0	0	3	4	1	0	0	0	0	0	4	1	1	1	1	1	2	1	3	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	7	0	0	0	1	2	2	1	2	2	2	2	3	3	2	0	0
l10	26	61	21	63	35	42	1	2	2	2	2	4	0	0	0	0	0	0	0	0	5	6	0	0	0	0	3	6	1	1	1	1	1	1	1	1	6	6	0	3	3	2	2	1	1	1	1	1	1	2	2	4	0	0	0	0	1	2	2	2	2	2	2	2	2	2	2	8	0	0
l11	39	75	21	63	36	42	1	1	2	2	2	1	0	0	1	1	1	2	2	2	5	3	0	1	2	2	6	5	1	1	5	5	4	1	0	0	0	0	0	0	0	2	1	2	2	2	2	2	2	2	3	7	0	0	3	2	2	2	2	2	1	3	1	3	2	2	3	4	0	0
l3	53	82	22	51	29	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	32	60	21	56	28	35	1	3	2	2	1	2	1	2	3	3	2	0	0	0	0	0	0	0	0	0	0	1	2	1	3	5	3	0	0	0	0	0	1	4	5	3	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	2	3	2	2	2	2	2	2	1	0	0
l0	24	64	9	42	40	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l1	72	93	21	55	21	34	1	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	3	2	3	2	2	3	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	6	7	5	0	0	0	0	1	1	1	2	2	2	1	1	1	0	0	0	0	0	0
l2	25	70	21	49	45	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	46	78	22	54	32	32	1	2	1	1	2	2	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	4	0	0	0	0	0	0	0	0	0	5	5	2	2	1	1	0	0	1	1	1	2	2	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
l0	38	64	14	39	26	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	48	80	21	51	32	30	2	2	2	3	3	3	0	0	0	0	0	0	0	0	0	0	5	0	1	1	3	6	3	0	0	0	0	0	0	0	0	0	0	1	3	3	2	3	2	1	3	3	3	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	33	71	22	43	38	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	29	74	22	54	45	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	1	1	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
l4	23	69	21	60	46	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	2	1	2	5	3	3	0	0	0	1	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	3	3	3	1
l5	36	77	22	61	41	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	3	4	5	2	4	6	6	2	2	3	6	0	0	0	0	0	0	0	0	0	0	0	4	6	6	8	3	0	0	0	0	0	0	0	0	0	0	0	5	6	3	3	3	3	2
l6	37	74	21	56	37	35	3	0	0	0	0	0	0	1	5	6	2	0	0	0	0	0	2	1	1	1	1	1	1	2	3	2	2	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	2	6	0	0	0	1	2	2	2	2	2	2	2	3	1	1	0	0	0	0
l7	40	69	10	56	29	46	0	0	0	0	0	0	0	0	4	8	4	0	0	0	0	0	4	1	1	1	1	1	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	8	0	0	2	2	2	2	2	2	2	2	1	1	0	0	0	0	0	0
l8	38	68	13	58	30	45	0	0	0	0	0	1	1	1	3	4	6	3	0	0	0	0	1	1	1	1	1	1	3	4	4	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	2	2	8	0	0	3	3	2	1	2	1	2	2	1	1	0	0	1	1	0	0
l2	50	73	22	52	23	30	5	2	2	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	1	1	1	6	5	2	2	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l7	42	71	21	55	29	34	0	0	0	0	0	0	0	4	5	2	0	0	0	0	0	0	4	2	2	2	2	2	1	8	5	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	1	1	7	8	2	2	1	1	1	0	0	0	0	0	0	1	1	1	2	2
l8	50	76	21	53	26	32	0	0	2	5	4	5	2	2	0	0	0	0	0	0	0	0	2	2	2	5	6	6	4	1	0	0	0	0	0	0	0	0	5	5	2	1	1	3	2	1	2	3	3	3	1	2	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l6	30	57	21	55	27	34	1	0	0	0	0	2	5	6	3	2	0	0	0	0	0	0	8	2	1	1	1	1	1	2	6	6	0	0	0	0	0	0	2	3	2	2	2	1	1	1	1	1	1	1	1	2	8	2	0	0	0	0	0	1	2	2	2	2	2	2	2	2	0	0
l7	52	80	23	55	28	32	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	4	3	3	2	2	2	5	6	3	3	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	8	8	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0
l8	43	74	21	53	31	32	0	0	0	0	3	7	3	0	0	0	0	0	0	0	0	0	1	2	1	1	4	5	3	2	0	0	0	0	0	0	0	0	1	2	2	1	2	1	2	2	2	2	3	3	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l6	44	71	22	56	27	34	2	0	1	2	1	2	1	2	5	4	2	0	0	0	0	0	4	1	1	2	2	2	2	2	4	3	1	0	0	0	0	0	1	4	3	1	0	0	1	1	1	1	0	4	8	2	0	0	0	0	0	1	2	2	3	3	3	2	2	1	0	0	0	0
l4	36	69	26	52	33	26	1	0	1	2	2	1	1	0	0	0	0	0	0	0	0	0	3	3	2	0	0	2	8	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	5	5	5	4	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l5	34	60	23	60	26	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	3	3	3	2	5	2	2	2	5	5	3	0	0	0	0	0	0	0	0	0	0	2	4	7	7	4	0	0	0	0	0	0	0	0	0	0	0	4	6	4	3	2	0	0	0
l6	38	67	26	55	29	29	3	1	1	1	1	1	2	1	5	4	0	0	0	0	0	0	0	0	1	1	1	1	2	3	3	2	0	0	0	0	0	0	0	0	6	2	1	1	1	0	0	0	1	2	6	0	0	0	0	0	0	1	2	2	2	2	2	2	1	0	0	0	0	0
l10	42	71	21	60	29	39	1	1	2	2	4	3	0	0	0	0	0	3	2	2	0	0	0	1	2	4	6	5	1	1	2	4	5	0	0	0	0	0	0	0	0	3	3	3	2	2	2	2	2	2	2	1	6	3	2	3	1	1	0	0	0	0	0	0	1	2	2	3	3	0
l11	25	63	21	61	38	40	1	1	1	2	2	1	1	2	1	1	1	2	2	5	0	0	0	0	0	2	2	2	2	4	1	3	4	1	2	1	0	0	0	0	0	0	5	3	2	1	1	1	2	2	1	5	0	0	1	3	2	2	1	1	1	1	2	2	1	2	2	3	0	0
l3	47	75	22	54	28	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
l9	35	66	21	56	31	35	2	2	2	2	2	2	2	2	4	3	1	0	0	0	0	0	0	0	0	0	0	1	2	2	4	3	1	0	0	0	0	0	4	6	3	2	1	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	1	2	2	3	3	2	2	1	0	0	0	0
l0	34	62	10	42	28	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l1	48	70	21	51	22	30	1	0	2	2	2	3	4	0	0	0	0	0	0	0	0	0	5	3	3	2	3	3	3	0	0	0	0	0	0	0	0	0	0	3	4	1	2	1	1	2	2	2	2	5	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	35	88	22	56	53	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	1	1	0	1	4	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2
l2	42	62	21	51	20	30	5	3	2	3	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	8	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	6	5	3	2	2	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	49	70	11	41	21	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	41	77	21	52	36	31	1	2	1	2	2	2	4	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	5	4	0	0	0	0	0	0	0	0	2	3	2	2	2	1	2	2	2	2	2	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	41	75	22	42	34	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	49	94	22	58	45	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	4	2	1	1	1	1	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	1	1
l4	50	87	21	56	37	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	1	1	1	1	1	6	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	3	3	1	0	0	0	0	0	0	0	0	0	0	0	1	3	3	2	2	2	1
l5	42	76	25	61	34	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	7	3	2	2	5	3	1	1	1	1	3	5	0	0	0	0	0	0	0	0	0	0	0	2	6	7	5	3	2	2	0	0	0	0	0	0	0	0	0	0	5	2	1	1	1	2
l6	45	73	23	56	28	33	0	0	0	1	1	2	2	1	4	4	2	0	0	0	0	0	1	4	5	2	1	1	2	2	6	6	2	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	2	3	2	2	4	5	0	0	0	1	2	2	3	2	2	3	2	2	2	2	1	0
l7	38	73	12	62	35	50	1	0	0	0	0	0	0	0	0	0	0	3	4	4	1	0	2	1	2	1	1	1	2	1	2	4	7	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	2	3	2	0	2	1	2	2	2	2	1	1	1	1	1	2	2	3	3
l8	32	76	15	61	44	46	0	0	0	0	0	0	0	0	1	1	1	3	3	5	0	0	1	1	1	2	1	1	4	5	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	5	2	0	3	1	2	1	1	1	3	2	2	2	0	0	0	0	1	3
l2	55	76	21	55	21	34	7	4	1	2	3	2	2	2	4	3	0	0	0	0	0	0	2	0	0	0	0	0	0	2	6	4	0	0	0	0	0	0	0	3	5	7	3	2	2	1	1	1	0	0	0	0	1	1	0	0	0	0	1	2	2	2	2	2	2	2	1	1	0	0
l7	39	70	21	53	31	32	2	0	0	0	0	3	4	3	0	0	0	0	0	0	0	0	4	1	2	3	8	4	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	1	2	2	3	3	2	2	1	3	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l8	46	78	21	52	32	31	2	0	0	1	1	1	6	5	0	0	0	0	0	0	0	0	6	2	2	5	5	4	2	1	0	0	0	0	0	0	0	0	2	1	1	2	2	2	3	3	3	3	3	2	1	5	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l6	47	71	21	59	24	38	5	0	0	0	0	0	0	1	1	1	2	6	4	0	0	0	4	4	6	4	2	2	2	2	2	2	3	4	0	0	0	0	0	0	1	1	1	1	1	1	4	4	3	3	1	1	5	5	0	3	2	1	2	2	2	2	1	1	1	1	1	2	3	1
l7	33	69	23	59	36	36	0	0	0	0	0	0	0	0	0	3	5	3	2	0	0	0	4	2	1	2	2	1	1	1	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	4	5	2	2	1	1	1	2	2	2	2	2	2	2	1	1	2	2
l8	35	71	24	62	36	38	0	0	0	0	0	0	0	0	0	1	2	3	4	4	1	0	2	0	1	1	1	1	2	5	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	6	2	2	3	2	1	1	2	2	2	2	0	0	0	1	2	2	3
l6	39	71	22	60	32	38	0	0	0	0	1	1	1	2	2	1	2	2	2	1	0	0	0	1	3	1	1	1	1	1	1	1	1	2	6	5	0	0	2	2	1	0	0	0	0	0	0	0	0	1	2	1	2	3	0	0	1	3	1	1	2	2	2	2	2	2	2	2	2	2
l4	43	77	24	56	34	32	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	7	1	1	0	0	0	0	0	5	7	4	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2	3	2	2	2	2	2	1
l5	50	86	22	62	36	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	2	1	2	3	3	2	1	1	2	1	2	4	0	0	0	0	0	0	0	0	0	0	0	5	6	8	4	0	0	0	0	0	0	0	0	0	0	0	1	6	2	1	1	1	1
l6	40	73	22	56	33	34	0	0	0	0	1	1	1	3	2	0	0	0	0	0	0	0	4	2	2	1	1	1	1	1	7	7	4	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	1	1	2	3	6	0	0	0	0	0	0	1	1	2	2	3	2	3	3	2	1
l10	37	67	21	56	30	35	4	4	3	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	2	5	1	1	1	1	3	5	2	0	0	0	0	0	0	0	2	2	2	3	1	1	1	1	1	1	1	6	0	0	0	0	1	2	2	2	2	2	2	2	1	2	2	1	0	0
l11	33	70	21	60	37	39	2	2	1	4	3	0	0	1	1	1	1	6	4	1	0	0	0	2	3	6	1	2	3	5	7	5	4	1	0	0	0	0	1	0	2	3	1	2	2	2	1	1	1	2	3	2	5	7	2	1	1	2	3	2	2	1	3	3	1	1	1	2	3	3
l3	42	64	21	61	22	40	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	5	4	3	3	3	3	3	2	2	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	8	8	4	3	2	1	0	0	0	0	0	0	0	0	0	3	4	2	0	0	0	0	0	0
l9	44	71	21	60	27	39	2	1	2	2	2	2	1	2	2	3	3	3	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	5	5	2	0	0	4	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	2	2	2	3	2	2	2	1	1	3
l0	51	72	11	42	21	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l1	55	77	21	54	22	33	0	0	0	0	1	2	3	3	1	0	0	0	0	0	0	0	5	2	3	2	3	2	1	1	2	0	0	0	0	0	0	0	0	0	0	2	2	2	2	1	1	1	2	6	6	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
l2	35	89	21	54	54	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	8	3	3	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
l2	52	73	21	54	21	33	4	3	2	1	1	2	3	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	5	3	0	0	0	0	0	0	0	0	0	0	0	7	6	4	1	1	1	0	1	1	1	2	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
l0	52	72	14	43	20	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	46	78	21	53	32	32	2	2	2	2	2	2	4	2	0	0	0	0	0	0	0	0	4	0	1	2	2	2	5	4	0	0	0	0	0	0	0	0	0	3	5	3	2	1	2	2	3	3	3	3	1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	44	71	21	43	27	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	48	82	21	55	34	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	2	2	1	2	3	4	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	6	4	2	2	0	1	3	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0
l4	46	83	21	56	37	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	1	1	2	2	4	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	4	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	1
l5	45	82	21	60	37	39	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	1	1	4	1	2	3	2	5	4	1	0	0	0	0	0	0	0	0	0	2	5	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	2	2	1	2	2
l6	47	81	21	60	34	39	3	0	0	1	1	1	1	2	2	2	2	3	2	1	0	0	5	2	2	1	1	1	1	1	2	2	3	5	4	1	0	0	0	0	5	2	1	0	0	1	0	0	1	1	1	2	3	6	0	0	0	2	3	2	2	3	3	2	2	2	2	2	3	1
l7	44	68	11	54	24	43	2	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	3	1	2	1	1	1	5	4	1	0	0	0	0	0	0	0	0	0	0	1	2	2	3	3	3	3	2	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
l8	41	65	10	54	24	44	2	0	0	3	3	2	5	7	2	0	0	0	0	0	0	0	7	2	2	1	1	1	7	3	0	0	0	0	0	0	0	0	2	5	3	2	2	2	3	3	2	2	2	2	3	5	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
l2	64	82	21	53	18	32	3	3	3	3	2	3	2	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	7	4	3	2	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
