val	data0	data1	data2	data3	data4	data5	data6	data7	data8	data9	data10	data11	data12	data13	data14	data15	data16	data17	data18	data19	data20	data21	data22	data23	data24	data25	data26	data27	data28	data29	data30	data31	data32	data33	data34	data35	data36	data37	data38	data39	data40	data41	data42	data43	data44	data45	data46	data47	data48	data49	data50	data51	data52	data53	data54	data55	data56	data57	data58	data59	data60	data61	data62	data63	data64	data65	data66	data67	data68	data69	
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	
class
l7	48	78	21	56	30	35	2	0	0	0	0	0	0	0	1	6	5	0	0	0	0	0	3	1	1	1	2	2	1	3	8	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	6	4	1	0	0	2	2	2	2	2	2	2	2	2	2	1	1	1	1
l8	43	76	21	56	33	35	2	0	0	0	0	0	1	1	7	6	1	0	0	0	0	0	4	1	1	2	3	4	2	2	2	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	2	3	1	1	2	6	3	0	1	2	2	2	2	3	2	2	1	0	0	0	0	0	0
l6	47	72	21	56	25	35	2	0	0	0	0	1	2	1	4	5	3	0	0	0	0	0	5	2	1	1	2	2	1	1	2	4	1	0	0	0	0	0	2	2	0	0	0	0	1	1	1	1	1	2	3	5	2	0	0	0	1	2	2	3	2	2	2	1	1	2	1	0	0	0
l4	47	73	21	61	26	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	2	2	1	1	1	1	2	6	6	0	0	0	0	0	0	0	0	0	0	4	4	2	2	2	3	2	1	0	0	0	0	0	0	0	0	6	3	2	2	2	1	1	0
l5	49	80	24	52	31	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	3	3	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	6	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l6	52	81	21	58	29	37	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	4	1	1	1	1	2	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	5	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	1
l10	41	76	21	58	35	37	2	2	2	2	2	3	1	0	0	8	8	0	0	0	0	0	0	0	0	2	2	4	5	4	1	3	7	3	0	0	0	0	0	0	2	3	3	3	1	2	2	2	2	1	1	1	3	5	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	3
l11	24	55	21	59	31	38	1	2	2	1	2	5	4	2	2	3	3	5	4	0	0	0	0	0	2	3	3	6	3	5	5	4	2	0	0	0	0	0	2	6	5	2	2	2	0	0	1	2	3	4	5	6	1	0	3	3	1	2	2	2	2	2	2	2	1	3	3	0	0	0
l3	44	67	21	54	23	33	5	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	3	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
l9	52	71	21	55	19	34	2	2	2	3	2	2	2	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	3	0	0	0	0	0	0	4	6	5	2	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	1	2	2	2	2	2	1	1	0	0	0
l0	48	81	13	42	33	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l1	37	74	21	55	37	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	1
l2	23	95	23	54	72	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
